idx,회사명,주당액면가액(원)당기,주당액면가액(원)전기,주당액면가액(원)전전기,(연결)당기순이익(백만원)당기,(연결)당기순이익(백만원)전기,(연결)당기순이익(백만원)전전기,(별도)당기순이익(백만원)당기,(별도)당기순이익(백만원)전기,(별도)당기순이익(백만원)전전기,주식 유형1,유형1 예측,유형1 당기,유형1 전기,유형1 전전기,주식 유형2,유형2 예측,유형2 당기,유형2 전기,유형2 전전기,주식 유형3,유형3 예측,유형3 당기,유형3 전기,유형3 전전기
80,롯데정보통신,5000,5000,5000,53000,23370,2449,36888,31421,1444,주당 현금배당금(원)보통주(1)당기,800,700,650,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,호전실업,500,500,500,2748,4795,4508,1849,-7507,-11337,주당 현금배당금(원)보통주(1)당기,366,250,250,150,주당 현금배당금(원)우선주(1)당기,366,250,250,150,NULL,NULL,NULL,NULL,NULL
82,제이씨케미칼,500,500,500,11684,2316,-2136,5871,9509,4969,주당 현금배당금(원)보통주(1)당기,60,60,60,60,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
83,비비안,1000,1000,1000,-2433,-5761,-1666,2953,-6728,-1950,주당 현금배당금(원)보통주(1)당기,200,NULL,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,나라엠앤디,500,500,500,1082,3691,2135,293,3633,2681,주당 현금배당금(원)보통주(1)당기,40,60,70,80,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
85,KPX케미칼,5000,5000,5000,40755,11056,26498,38226,9751,25535,주당 현금배당금(원)보통주(1)당기,2916,2500,2000,2000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
86,애경유화,500,500,500,30373,52728,64731,50260,40183,65920,주당 현금배당금(원)보통주(1)당기,350,350,350,350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,제주항공,5000,5000,5000,-33118,70878,77797,-36170,70577,77135,주당 현금배당금(원)보통주(1)당기,800,NULL,650,600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
88,리노스,500,500,500,-443,2177,4975,-77,2284,4275,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,애경산업,1000,1000,1000,41643,60789,38061,40865,59460,38351,주당 현금배당금(원)보통주(1)당기,566,450,450,350,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,AK홀딩스,5000,5000,5000,28278,106906,99642,18720,21698,17113,주당 현금배당금(원)보통주(1)당기,866,750,750,650,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,노바렉스,500,500,500,14709,9490,8104,14934,10480,8567,주당 현금배당금(원)보통주(1)당기,200,200,200,200,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
92,한일화학,500,500,500,1668,2843,3340,1455,1513,4033,주당 현금배당금(원)보통주(1)당기,150,150,150,150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,삼천리,5000,5000,5000,37822,32053,13216,33834,24361,35426,주당 현금배당금(원)보통주(1)당기,3000,3000,3000,3000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
