,회사명,주당액면가액(원)(1)당기,주당액면가액(원)(1)전기,주당액면가액(원)(1)전전기,(연결)당기순이익(백만원)(1)당기,(연결)당기순이익(백만원)(1)전기,(연결)당기순이익(백만원)(1)전전기,(별도)당기순이익(백만원)(1)당기,(별도)당기순이익(백만원)(1)전기,(별도)당기순이익(백만원)(1)전전기,(연결)주당순이익(원)(1)당기,(연결)주당순이익(원)(1)전기,(연결)주당순이익(원)(1)전전기,현금배당금총액(백만원)(1)당기,현금배당금총액(백만원)(1)전기,현금배당금총액(백만원)(1)전전기,주식배당금총액(백만원)(1)당기,주식배당금총액(백만원)(1)전기,주식배당금총액(백만원)(1)전전기,(연결)현금배당성향(%)(1)당기,(연결)현금배당성향(%)(1)전기,(연결)현금배당성향(%)(1)전전기,현금배당수익률(%)보통주(1)당기,현금배당수익률(%)보통주(1)전기,현금배당수익률(%)보통주(1)전전기,현금배당수익률(%)우선주(1)당기,현금배당수익률(%)우선주(1)전기,현금배당수익률(%)우선주(1)전전기,주식배당수익률(%)보통주(1)당기,주식배당수익률(%)보통주(1)전기,주식배당수익률(%)보통주(1)전전기,주식배당수익률(%)우선주(1)당기,주식배당수익률(%)우선주(1)전기,주식배당수익률(%)우선주(1)전전기,주당 현금배당금(원)보통주(1)당기,주당 현금배당금(원)보통주(1)전기,주당 현금배당금(원)보통주(1)전전기,주당 현금배당금(원)우선주(1)당기,주당 현금배당금(원)우선주(1)전기,주당 현금배당금(원)우선주(1)전전기,주당 주식배당(주)보통주(1)당기,주당 주식배당(주)보통주(1)전기,주당 주식배당(주)보통주(1)전전기,주당 주식배당(주)우선주(1)당기,주당 주식배당(주)우선주(1)전기,주당 주식배당(주)우선주(1)전전기,현금배당수익률(%)(1)당기,현금배당수익률(%)(1)전기,현금배당수익률(%)(1)전전기,주식배당수익률(%)(1)당기,주식배당수익률(%)(1)전기,주식배당수익률(%)(1)전전기,주당 현금배당금(원)(1)당기,주당 현금배당금(원)(1)전기,주당 현금배당금(원)(1)전전기,주당 주식배당(주)(1)당기,주당 주식배당(주)(1)전기,주당 주식배당(주)(1)전전기,현금배당수익률(%)(2)당기,현금배당수익률(%)(2)전기,현금배당수익률(%)(2)전전기,주식배당수익률(%)(2)당기,주식배당수익률(%)(2)전기,주식배당수익률(%)(2)전전기,주당 현금배당금(원)(2)당기,주당 현금배당금(원)(2)전기,주당 현금배당금(원)(2)전전기,주당 주식배당(주)(2)당기,주당 주식배당(주)(2)전기,주당 주식배당(주)(2)전전기,현금배당수익률(%)종류주식(1)당기,현금배당수익률(%)종류주식(1)전기,현금배당수익률(%)종류주식(1)전전기,주식배당수익률(%)종류주식(1)당기,주식배당수익률(%)종류주식(1)전기,주식배당수익률(%)종류주식(1)전전기,주당 현금배당금(원)종류주식(1)당기,주당 현금배당금(원)종류주식(1)전기,주당 현금배당금(원)종류주식(1)전전기,주당 주식배당(주)종류주식(1)당기,주당 주식배당(주)종류주식(1)전기,주당 주식배당(주)종류주식(1)전전기,주당 주식배당(주)(3)당기,주당 주식배당(주)(3)전기,주당 주식배당(주)(3)전전기,현금배당수익률(%)보통주식(1)당기,현금배당수익률(%)보통주식(1)전기,현금배당수익률(%)보통주식(1)전전기,주식배당수익률(%)보통주식(1)당기,주식배당수익률(%)보통주식(1)전기,주식배당수익률(%)보통주식(1)전전기,주당 현금배당금(원)보통주식(1)당기,주당 현금배당금(원)보통주식(1)전기,주당 현금배당금(원)보통주식(1)전전기,주당 주식배당(주)보통주식(1)당기,주당 주식배당(주)보통주식(1)전기,주당 주식배당(주)보통주식(1)전전기,주당 주식배당(주)후배주(1)당기,주당 주식배당(주)후배주(1)전기,주당 주식배당(주)후배주(1)전전기,현금배당수익률(%)종류주(1)당기,현금배당수익률(%)종류주(1)전기,현금배당수익률(%)종류주(1)전전기,주식배당수익률(%)종류주(1)당기,주식배당수익률(%)종류주(1)전기,주식배당수익률(%)종류주(1)전전기,주당 현금배당금(원)종류주(1)당기,주당 현금배당금(원)종류주(1)전기,주당 현금배당금(원)종류주(1)전전기,주당 주식배당(주)종류주(1)당기,주당 주식배당(주)종류주(1)전기,주당 주식배당(주)종류주(1)전전기,주당 주식배당(주)(4)당기,주당 주식배당(주)(4)전기,주당 주식배당(주)(4)전전기,현금배당수익률(%)보통주 (1)당기,현금배당수익률(%)보통주 (1)전기,현금배당수익률(%)보통주 (1)전전기,현금배당수익률(%)우선주 (1)당기,현금배당수익률(%)우선주 (1)전기,현금배당수익률(%)우선주 (1)전전기,주식배당수익률(%)보통주 (1)당기,주식배당수익률(%)보통주 (1)전기,주식배당수익률(%)보통주 (1)전전기,주식배당수익률(%)우선주 (1)당기,주식배당수익률(%)우선주 (1)전기,주식배당수익률(%)우선주 (1)전전기,주당 현금배당금(원)보통주 (1)당기,주당 현금배당금(원)보통주 (1)전기,주당 현금배당금(원)보통주 (1)전전기,주당 현금배당금(원)우선주 (1)당기,주당 현금배당금(원)우선주 (1)전기,주당 현금배당금(원)우선주 (1)전전기,주당 주식배당(주)보통주 (1)당기,주당 주식배당(주)보통주 (1)전기,주당 주식배당(주)보통주 (1)전전기,주당 주식배당(주)우선주 (1)당기,주당 주식배당(주)우선주 (1)전기,주당 주식배당(주)우선주 (1)전전기
124,삼성엔지니어링,"5,000","5,000","5,000","292,648","68,685","-45,351","124,296","34,834","-78,440","1,493",350,-231,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,자화전자,500,500,500,-281,"-1,283","24,900","11,939",921,"17,926",-17,-76,"1,406",-,"3,366","7,573",-,-,-,-,-262.30,32.00,-,1.70,1.80,-,-,-,-,-,-,-,-,-,-,200,450,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,썸에이지,100,100,100,"-13,388","-27,475","-8,432","-10,200","-25,503","-8,091",-154,-365,-114,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,코드네이처,500,500,500,"-2,341","-13,963","-34,070","-2,980","-12,869","-29,636",-85,-336,"-1,082",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,TCC스틸,"1,000","1,000","1,000","5,037","9,755","1,504","1,996","7,565","-2,329",237,465,72,640,"1,707",-,658,-,-,12.70,17.50,-,1.00,4.10,-,-,-,-,0.20,-,-,-,-,-,30,80,-,-,-,-,0,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,셀바스헬스케어,500,500,500,"-3,328","-19,992","-1,116","-3,189","-20,459",-26,-239,"-1,523",-87,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,나인테크,500,500,"5,000","4,219","2,025","-1,889",-,-,-,"1,455",707,"-7,730",-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,세코닉스,500,500,500,"-17,494","-1,936","-2,356","-5,360","8,940","1,256","-1,503",-176,-213,582,-,-,-,-,-,-,-,-,0.79,-,-,,,,-,0.05,0.03,,,,50,-,-,,,,-,0,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,롯데정밀화학,"5,000","5,000","5,000","168,372","214,923","89,231","195,608","172,843","69,738","6,611","8,438","3,503","43,299","43,299","20,376",-,-,-,25.80,20.10,22.80,3.70,4.10,1.30,-,-,-,-,-,-,-,-,-,"1,700","1,700",800,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,DSR,500,500,500,"8,739","7,908","11,073","8,764","8,788","12,631",546,494,692,800,800,800,-,-,-,9.20,10.10,7.20,1.10,1.20,1.00,-,-,-,-,-,-,-,-,-,50,50,50,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,대구백화점,"5,000","5,000","5,000","-19,883","-29,859","-16,463","-18,649","-19,611","-8,972","-2,601","-3,904","-2,148",773,"1,159","1,545",-,-,-,-,-,-,1.70,1.70,1.70,-,-,-,,,,,,,100,150,200,150,200,250,,,,,,,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,아이마켓코리아,500,500,500,"16,063","12,316","7,704","17,470","18,108","14,572",483,357,221,"19,548","15,321","12,165",-,-,-,121.70,124.40,157.90,5.60,6.40,3.90,-,-,-,-,-,-,-,-,-,600,450,350,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,에이비프로바이오,500,500,500,"-37,467","-11,575","-11,528","-31,644","-11,498","-13,507",-236,-139,-158,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,성광벤드,500,500,500,"6,167","-8,334","-16,319","9,392","-6,461","-18,652",221,-298,-584,"2,793","2,263","2,793",-,-,-,45.28,-27.16,-17.11,1.00,0.90,1.00,-,-,-,-,-,-,-,-,-,100,100,100,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,인화정공,500,500,500,"-8,467","-1,771","10,423",209,"1,683","2,168",-922,-193,"1,135",-,-,459,-,-,-,-,-,4.40,-,-,1.12,,,,,,,,,,-,-,50,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,신송홀딩스,500,500,500,"-34,342","-13,912","-8,240","-4,890","-13,183","-6,677","-2,905","-1,176",-697,946,-,-,-,-,-,2.01,-,-,-,-,-,,,,,,,,,,80,-,-,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,에쓰씨엔지니어링,500,500,500,"-4,376","-11,720","-14,439","-9,772","2,334","-6,471",-14,-11,-410,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,,,-,-,-,,,,-,-,-,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,메디포스트,500,500,500,"-14,121","-2,007",-950,"-13,876","-2,018","-1,090",-911,-130,-61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,세원,100,100,100,"3,312",-,-,639,"1,315",-36,69,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,윈하이텍,500,500,500,"-7,755","6,403","3,868","-6,629",-,-,-676,669,404,-,"1,148",765,-,-,-,-,17.90,19.80,-,2.80,1.90,,,,-,-,-,,,,-,120,80,,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,스템랩,500,500,500,-,-,-,"-3,111","-2,168","-3,128",-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,오가닉티코스메틱,-,-,-,"31,800","44,056","43,245",-,-,-,558,774,760,-,"4,482","5,197",-,-,-,-,10.00,12.00,-,2.99,1.50,-,-,-,-,-,-,-,-,-,-,79,46,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,코텍,500,500,500,"30,761","35,046","21,710","32,717","35,046","21,710","2,069","2,357","1,460","5,948","5,948","4,461",-,-,-,19.30,17.00,20.60,,,,,,,,,,,,,,,,,,,,,,,,,3.10,2.90,1.80,-,-,-,400,400,300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
147,대유에이텍,500,500,500,"10,183","-30,494","2,638","11,912","-28,287","4,588",95,-294,43,-,-,"3,597",-,-,-,-,-,136.35,-,-,1.88,,,,-,-,-,,,,-,-,20,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,6.00,-,-,-,-,-,123,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,녹원씨엔아이,500,500,500,"-9,154","6,204",427,"-8,667","3,376","-7,298",-601,509,47,-,"1,605",-,-,-,-,-,25.86,-,-,1.20,-,-,-,-,-,-,-,-,-,-,-,108,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,빙그레,"5,000","5,000","5,000","41,060","34,201","29,615","39,719","32,131","27,873","4,644","3,868","3,349","12,821","11,936","11,052",-,-,-,31.20,34.90,37.30,2.60,1.80,2.00,,,,-,-,-,,,,"1,450","1,350","1,250",,,,-,-,-,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,골프존뉴딘홀딩스,500,500,500,"-34,848","-7,124","-21,585","-30,342","-7,654","-20,921",-752,-166,-505,"5,003","5,003","5,003",-,-,-,-14.40,-70.20,-23.20,,,,,,,,,,,,,,,,,,,,,,,,,3.30,3.00,2.20,-,-,-,117,117,117,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,태광,500,500,500,"10,784","10,029","-16,226","10,942","10,205","-16,226",418,388,-627,"2,586","1,940","1,293",-,-,-,23.96,19.29,-7.97,1.00,0.60,0.40,-,-,-,-,-,-,-,-,-,100,75,50,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,자연과환경,500,500,500,"-1,469",611,"-6,765",-842,"1,107","-5,675",-29,26,-219,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,마니커,500,500,500,"-17,301","-11,020","-10,888","-17,490","-11,766","-14,677",-110,-88,-95,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,팜스토리,500,500,500,"-5,129","-5,952","13,808","8,730","6,847","9,410",-57,-68,158,"2,765",-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.30,-,-,-,-,-,-,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-
155,영우디에스피,500,500,500,"-2,074","-18,244","-4,578","-1,803","-17,751","-4,737",-71,"-1,494",-376,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,경인양행,500,500,500,"16,373","13,802","4,779","4,798","7,420",531,344,331,90,"2,034","2,008","1,984",-,-,-,14.88,14.55,41.52,1.00,1.00,1.00,,,,,,,,,,50,50,50,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,WI,500,500,500,-,"-16,887","-10,844","1,401","-14,963","-9,800",115,"-1,563","-2,127",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,에스제이엠,500,500,500,"7,568","3,726","5,677","1,882","2,388","6,857",438,267,363,"1,951","1,560","2,029",-,-,-,25.80,37.40,35.80,3.26,3.33,2.59,-,-,-,-,-,-,-,-,-,125,100,130,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,삼본전자,500,500,500,"-19,357","2,674","3,476",74,"1,228","2,814",-276,59,68,-,-,"2,254",-,-,-,-,-,65.00,-,-,2.00,-,-,-,-,-,-,-,-,-,-,-,250,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,노브메타파마,500,500,500,"-12,377","-13,177","-6,076","-11,957","-12,710","-5,967","-1,402","-1,519",-767,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,동양고속,"5,000","5,000","5,000","32,744","1,365","-1,770","29,751","1,595","4,282","12,104",464,-552,"12,584","2,879","1,992",-,-,615,260.20,47.42,-,16.79,3.44,1.43,,,,-,-,-,,,,"4,700","1,000",800,,,,-,-,0,,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,브이티지엠피,500,500,500,"3,411","10,707","-13,007","3,868","5,014","-16,806",103,276,-747,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,아가방컴퍼니,500,500,500,"-15,811","-15,530","-4,481","-15,684","-15,657","-4,481",-481,-472,-136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,S&T홀딩스,500,500,500,"62,523","27,438","6,796","9,244","6,218","4,172","4,072","1,701",418,"7,578","6,307","3,159",-,-,237,12.10,23.00,46.50,3.30,3.30,1.30,-,-,-,-,-,2.30,-,-,-,500,400,200,-,-,-,-,-,0,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,골든센츄리,232,224,214,"21,717","21,221","19,135",-,-,-,137,227,642,476,-,611,-,-,-,2.20,-,3.20,,,,,,,,,,,,,,,,,,,,,,,,,0.90,-,3.00,-,-,-,3,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,피에스케이홀딩스,500,500,500,"8,394","53,521","39,443","15,274","52,451","39,981",950,"2,633","1,940",532,"8,018","8,133",-,-,-,6.34,14.98,20.61,1.73,3.34,1.60,-,-,-,-,-,-,-,-,-,150,400,400,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,페이퍼코리아,500,500,500,"-27,833","-38,061","-107,323","-23,616","-57,411","-115,773",-315,-701,-639,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,위닉스,500,500,500,"41,158","18,876","11,319","40,368","19,166","12,101","2,518","1,159",741,"8,171","6,537","3,006",-,-,-,19.80,34.60,26.50,,,,,,,,,,,,,,,,,,,,,,,,,1.96,2.75,1.45,-,-,-,500,400,200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,삼성전자,100,100,100,"21,505,054","43,890,877","41,344,569","15,353,323","32,815,127","28,800,837","3,166","6,461","5,997","9,619,243","9,619,243","5,826,302",-,-,-,44.70,21.90,14.10,2.60,3.70,1.70,3.10,4.50,2.10,-,-,-,-,-,-,"1,416","1,416",850,"1,417","1,417",851,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,웰바이오텍,500,500,500,"-16,553","-16,307","-8,709","-16,801","-14,175","-22,445",-368,-780,-573,0,0,0,0,0,0,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,토비스,500,500,500,"22,081","19,677","12,963","21,504","18,464","13,300","1,420","1,234",799,"3,664","3,142","2,607",-,-,-,16.60,16.01,20.17,,,,,,,,,,,,,240,200,160,,,,,,,,,,2.55,2.99,2.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,키다리스튜디오,500,500,500,"2,693",-,"-2,241",339,151,"-2,199",139,10,-148,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,태웅,500,500,500,-,-,-,"-33,805","-32,673","-5,959","-1,690","-1,633",-298,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,인지컨트롤스,500,500,500,"-8,269","2,981",-15,"2,447",-553,"-1,647",-569,205,-1,"1,452","1,452","2,178",-,-,-,-17.55,4.70,#######,2.10,1.60,2.60,-,-,-,-,-,-,-,-,-,100,100,150,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
