,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_member,max_limit,spcl_cnd,options
68,240008,머스트삼일저축은행,정기예금,제한없음,,없음,"[['6', '단리', 1, 1], ['12', '단리', 1.6, 1.6], ['24', '단리', 1.6, 1.6], ['36', '단리', 1.6, 1.6], ['6', '복리', 1, 1], ['12', '복리', 1.6, 1.6], ['24', '복리', 1.6, 1.6], ['36', '복리', 1.6, 1.6]]"
69,240001 240002,안양저축은행,정기예금,제한없음,,인터넷뱅킹 1년이상 가입 우대금리 0.1%,"[['6', '단리', 1.4, 1.4], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['6', '복리', 1.4, 1.4], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9]]"
70,240006 240007,안양저축은행,비대면-정기예금,"만19세이상 내국인 개인고객, 본인 스마트폰 소지자, 신분증(주민등록증 또는 운전면허증)소지자, 최근 30일이내 전은행에서 입출금통장 개설내역이 없는 고객, 미국인납세자에 해당하지 않는 고객",,없음,"[['6', '단리', 1.4, 1.4], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['36', '단리', 2, 2], ['6', '복리', 1.4, 1.4], ['12', '복리', 2, 2], ['24', '복리', 2, 2], ['36', '복리', 2, 2]]"
71,240012,동양저축은행,정기예금,제한없음,,없음,"[['6', '단리', 1.6, 1.6], ['12', '단리', 2, 2], ['24', '단리', 2.05, 2.05], ['36', '단리', 2.1, 2.1], ['6', '복리', 1.6, 1.6], ['12', '복리', 2, 2], ['24', '복리', 2.05, 2.05], ['36', '복리', 2.1, 2.1]]"
72,240014,S&T저축은행,정기예금,제한없음,,없음,"[['6', '단리', 1.4, 1.4], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['6', '복리', 1.4, 1.4], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9], ['6', '단리', 1.3, 1.3], ['12', '단리', 1.9, 1.95], ['24', '단리', 1.9, 1.95], ['36', '단리', 1.9, 1.95], ['6', '복리', 1.3, 1.3], ['12', '복리', 1.9, 1.95], ['24', '복리', 1.9, 1.95], ['36', '복리', 1.9, 1.95], ['6', '단리', 1.6, 1.6], ['12', '단리', 2, 2], ['24', '단리', 2.05, 2.05], ['36', '단리', 2.1, 2.1], ['6', '복리', 1.6, 1.6], ['12', '복리', 2, 2], ['24', '복리', 2.05, 2.05], ['36', '복리', 2.1, 2.1], ['6', '단리', 1.3, 1.3], ['12', '단리', 2, 2], ['24', '단리', 2.1, 2.1], ['36', '단리', 2.2, 2.2], ['6', '복리', 1.3, 1.3], ['12', '복리', 2, 2], ['24', '복리', 2.1, 2.1], ['36', '복리', 2.2, 2.2]]"
73,241000,융창저축은행,e정기예금,제한없음,,없음,"[['6', '단리', 1.3, 1.3], ['12', '단리', 2, 2], ['24', '단리', 2, 2], ['36', '단리', 2, 2], ['6', '복리', 1.3, 1.3], ['12', '복리', 2, 2], ['24', '복리', 2, 2], ['36', '복리', 2, 2]]"
74,240027,세람저축은행,회전식 정기예금(변동금리),제한없음,,"가입시점의 금리는 1회전 주기(12개월)까지 적용되며, 이후 약정 회전주기에 따라서 영업점, 홈페이지에서 공시한 변동금리가 적용되는 상품","[['12', '단리', 1.91, 1.91], ['24', '단리', 1.91, 1.91], ['36', '단리', 1.91, 1.91], ['12', '복리', 1.91, 1.91], ['24', '복리', 1.91, 1.91], ['36', '복리', 1.91, 1.91]]"
75,240901,세람저축은행,e-정기예금,제한없음,,없음,"[['6', '단리', 1.4, 1.4], ['12', '단리', 1.8, 1.8], ['24', '단리', 1.9, 1.9], ['36', '단리', 1.9, 1.9], ['6', '복리', 1.4, 1.4], ['12', '복리', 1.8, 1.8], ['24', '복리', 1.9, 1.9], ['36', '복리', 1.9, 1.9]]"
76,24-0055,페퍼저축은행,회전정기예금 (1년단위 변동금리상품),제한없음,,"- 매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리)
- 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용","[['12', '단리', 2, 2], ['24', '단리', 2, 2], ['36', '단리', 2, 2], ['12', '복리', 2, 2], ['24', '복리', 2, 2], ['36', '복리', 2, 2]]"
77,24-0059,페퍼저축은행,"회전정기예금 (인터넷, 모바일) (1년단위 변동금리상품)",제한없음,,"- 매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리)
- 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용","[['12', '단리', 2, 2], ['24', '단리', 2, 2], ['36', '단리', 2, 2], ['12', '복리', 2, 2], ['24', '복리', 2, 2], ['36', '복리', 2, 2]]"
78,24-0061,페퍼저축은행,"정기예금 (인터넷, 모바일)",제한없음,,우대사항없음,"[['6', '단리', 1.5, 1.5], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.95, 1.95], ['36', '단리', 2, 2], ['6', '복리', 1.5, 1.5], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.95, 1.95], ['36', '복리', 2, 2]]"
79,24-0065,페퍼저축은행,정기예금 (비대면),제한없음,,우대사항없음,"[['6', '단리', 1.5, 1.5], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.95, 1.95], ['36', '단리', 2, 2], ['6', '복리', 1.5, 1.5], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.95, 1.95], ['36', '복리', 2, 2]]"
80,24-0067,페퍼저축은행,회전정기예금 (비대면) (1년단위 변동금리상품),제한없음,,"- 매 1년마다 해당시점 정기예금 1년 금리 +0.1%로 자동연장되는 변동금리 상품(1년 단위 확정금리)
- 매 1년 경과 후 중도해지시 회전일로부터 1년 경과 시점까지는 정상이율 적용","[['12', '단리', 2, 2], ['24', '단리', 2, 2], ['36', '단리', 2, 2], ['12', '복리', 2, 2], ['24', '복리', 2, 2], ['36', '복리', 2, 2]]"
81,24-0069,페퍼저축은행,페퍼루 중도해지 Free정기예금,제한없음,,우대사항없음,"[['36', '복리', 1.8, 1.8]]"
82,24-0070,페퍼저축은행,페퍼루 중도해지 Free정기예금(비대면),제한없음,,우대사항없음,"[['36', '복리', 1.8, 1.8]]"
83,24-0071,페퍼저축은행,"페퍼루 중도해지 Free정기예금(인터넷,모바일)",제한없음,,우대사항없음,"[['36', '복리', 1.8, 1.8]]"
84,GP24001,상상인저축은행,정기예금,제한없음,,없음,"[['6', '단리', 1.6, 1.6], ['12', '단리', 1.9, 1.9], ['24', '단리', 1.9, 1.9], ['6', '복리', 1.6, 1.6], ['12', '복리', 1.9, 1.9], ['24', '복리', 1.9, 1.9]]"
85,GP240026,상상인저축은행,중도해지 괜찮아 369 정기예금,제한없음,,없음,"[['24', '복리', 1.7, 1.7]]"
86,GP240040,상상인저축은행,뱅뱅뱅 정기예금,제한없음,,없음,"[['6', '단리', 1.65, 1.65], ['12', '단리', 1.95, 1.95], ['24', '단리', 1.95, 1.95], ['6', '복리', 1.65, 1.65], ['12', '복리', 1.95, 1.95], ['24', '복리', 1.95, 1.95]]"
87,GP240042,상상인저축은행,뱅뱅뱅 중도해지 괜찮아 369 정기예금,제한없음,,없음,"[['24', '복리', 1.75, 1.75]]"
88,GP24033,상상인저축은행,비대면 정기예금,제한없음,,없음,"[['6', '단리', 1.65, 1.65], ['12', '단리', 1.95, 1.95], ['24', '단리', 1.95, 1.95], ['6', '복리', 1.65, 1.65], ['12', '복리', 1.95, 1.95], ['24', '복리', 1.95, 1.95]]"
89,240071,IBK저축은행,참기특한 정기예금(비대면),제한없음,,없음,"[['6', '단리', 1.2, 1.2], ['12', '단리', 1.7, 1.7], ['24', '단리', 1.7, 1.7], ['36', '단리', 1.7, 1.7], ['6', '복리', 1.2, 1.2], ['12', '복리', 1.7, 1.7], ['24', '복리', 1.7, 1.7], ['36', '복리', 1.7, 1.7]]"
90,240093,한화저축은행,e뱅킹정기예금,제한없음,,"인터넷뱅킹, 스마트폰뱅킹 전용","[['6', '단리', 1.2, 1.2], ['12', '단리', 1.8, 1.8], ['24', '단리', 1.8, 1.8], ['6', '복리', 1.2, 1.2], ['12', '복리', 1.8, 1.8], ['24', '복리', 1.8, 1.8]]"
